height_cm,weight_kg,body_type
186,85,Normal
192,81,Lean
168,59,Normal
175,70,Lean
180,78,Normal
174,71,Normal
183,72,Lean
187,88,Normal
178,71,Lean
175,74,Lean
185,84,Normal
194,82,Normal
186,84,Normal
179,79,Normal
186,85,Normal
174,75,Stocky
176,85,Normal
179,75,Normal
166,62,Lean
160,61,Normal
185,80,Normal
190,92,Normal
173,70,Lean
185,79,Normal
183,80,Normal
180,70,Lean
175,75,Normal
182,81,Normal
188,78,Lean
184,86,Normal
185,80,Normal
193,86,Normal
195,87,Normal
175,78,Normal
173,63,Normal
176,69,Lean
179,66,Lean
169,65,Normal
183,81,Normal
184,69,Lean
173,70,Lean
187,75,Normal
183,84,Stocky
174,69,Normal
179,75,Normal
185,80,Lean
168,61,Normal
172,67,Lean
184,80,Normal
188,81,Normal
180,69,Lean
180,65,Lean
173,70,Lean
189,85,Normal
187,88,Normal
179,77,Normal
179,72,Lean
173,64,Lean
178,72,Normal
185,84,Stocky
176,77,Stocky
186,84,Stocky
175,72,Normal
189,78,Normal
174,75,Normal
175,65,Normal
171,73,Normal
178,82,Normal
172,66,Normal
189,80,Normal
172,69,Normal
175,69,Lean
176,75,Normal
172,67,Lean
182,71,Lean
172,66,Lean
179,70,Normal
177,71,Normal
177,69,Lean
182,81,Normal
179,77,Normal
192,85,Normal
176,75,Stocky
183,78,Normal
176,76,Normal
178,75,Normal
180,79,Normal
178,71,Normal
182,78,Normal
180,69,Lean
169,62,Lean
174,73,Normal
176,73,Normal
193,96,Stocky
180,71,Lean
175,75,Normal
181,72,Normal
178,73,Normal
178,75,Normal
185,80,Stocky
175,70,Normal
181,78,Normal
190,84,Normal
185,77,Normal
177,74,Normal
177,73,Normal
187,76,Normal
180,75,Normal
174,72,Normal
174,62,Normal
176,70,Lean
166,61,Lean
186,81,Normal
181,72,Normal
192,85,Lean
169,56,Lean
170,67,Lean
177,77,Normal
190,81,Normal
176,66,Lean
187,79,Lean
193,88,Normal
184,74,Lean
175,70,Normal
183,77,Lean
188,74,Normal
179,73,Normal
191,72,Lean
187,85,Normal
179,72,Lean
183,74,Lean
171,75,Stocky
181,79,Lean
189,75,Normal
183,70,Normal
183,74,Normal
174,62,Normal
182,79,Normal
166,58,Lean
185,78,Normal
173,67,Normal
177,70,Lean
176,70,Normal
169,67,Normal
183,71,Normal
181,80,Normal
185,75,Normal
178,74,Lean
179,72,Normal
191,87,Normal
168,66,Normal
180,74,Normal
175,62,Lean
176,78,Stocky
176,66,Normal
194,80,Normal
169,65,Normal
183,75,Normal
169,65,Lean
182,77,Normal
180,75,Normal
185,84,Stocky
180,77,Normal
190,89,Normal
181,75,Normal
188,80,Normal
178,68,Normal
172,67,Normal
167,68,Lean
164,60,Normal
173,64,Normal
183,77,Normal
177,71,Normal
173,68,Normal
179,67,Lean
167,60,Lean
183,80,Normal
185,86,Stocky
177,75,Normal
181,68,Lean
178,76,Lean
175,70,Normal
179,76,Normal
183,80,Normal
187,85,Normal
180,78,Normal
183,76,Lean
195,85,Normal
175,71,Normal
176,72,Lean
183,78,Lean
176,72,Normal
187,77,Normal
178,68,Normal
173,71,Normal
186,83,Normal
183,75,Normal
185,70,Lean
185,71,Lean
187,84,Stocky
196,96,Stocky
188,78,Normal
181,68,Lean
182,74,Stocky
169,72,Normal
178,69,Normal
180,69,Lean
177,71,Lean
185,70,Lean
174,74,Normal
176,66,Normal
180,79,Normal
175,62,Lean
175,70,Lean
201,96,Normal
167,67,Normal
180,70,Lean
164,61,Normal
191,91,Normal
182,72,Normal
180,75,Lean
189,77,Normal
185,76,Lean
187,77,Lean
184,77,Lean
177,63,Lean
181,66,Normal
175,70,Lean
177,77,Normal
190,84,Normal
191,82,Normal
183,71,Normal
184,81,Normal
185,75,Lean
182,74,Normal
182,75,Lean
175,72,Normal
176,75,Lean
170,68,Normal
186,70,Normal
183,70,Lean
175,70,Normal
176,62,Lean
173,65,Lean
195,94,Normal
183,70,Normal
185,81,Normal
192,88,Normal
173,70,Lean
183,78,Normal
169,79,Stocky
183,78,Lean
173,70,Normal
175,68,Lean
201,82,Lean
183,74,Normal
194,86,Lean
180,70,Normal
172,68,Normal
171,74,Stocky
182,72,Lean
180,80,Normal
185,83,Normal
173,63,Lean
180,70,Normal
184,85,Normal
182,73,Normal
184,80,Normal
180,72,Lean
178,72,Lean
183,84,Normal
187,92,Normal
177,73,Lean
184,81,Normal
183,77,Normal
180,74,Normal
180,72,Lean
181,79,Normal
180,75,Normal
178,74,Normal
181,70,Normal
184,83,Lean
181,81,Normal
186,80,Normal
186,77,Lean
176,62,Lean
168,69,Normal
188,76,Lean
191,82,Normal
173,69,Lean
187,77,Normal
197,89,Normal
188,75,Lean
180,72,Lean
179,74,Lean
181,73,Lean
180,74,Normal
184,77,Normal
178,76,Normal
183,75,Normal
188,84,Normal
178,76,Normal
177,73,Lean
185,79,Normal
193,85,Normal
176,74,Lean
176,71,Lean
185,78,Normal
176,72,Lean
189,76,Lean
177,68,Lean
177,81,Stocky
187,82,Normal
175,75,Normal
183,74,Lean
184,74,Normal
158,56,Normal
170,65,Lean
171,64,Lean
187,85,Normal
192,87,Normal
192,84,Lean
180,74,Lean
186,80,Normal
180,84,Normal
184,79,Normal
185,80,Normal
188,78,Normal
191,82,Lean
183,70,Normal
185,82,Normal
193,88,Normal
171,70,Lean
186,79,Lean
175,71,Normal
175,69,Lean
185,74,Normal
188,77,Lean
170,69,Normal
178,70,Normal
167,63,Normal
188,85,Normal
182,79,Normal
173,72,Normal
176,73,Normal
183,77,Normal
186,76,Normal
184,76,Normal
164,64,Normal
170,69,Normal
182,74,Normal
173,75,Normal
180,70,Lean
170,68,Lean
180,77,Normal
179,74,Lean
194,86,Normal
184,77,Lean
180,76,Normal
180,77,Normal
188,85,Normal
189,85,Normal
185,78,Normal
182,75,Lean
190,88,Normal
171,74,Lean
171,64,Normal
177,70,Normal
194,89,Normal
189,95,Stocky
187,81,Normal
190,80,Lean
183,75,Normal
177,69,Normal
189,85,Normal
190,85,Normal
178,75,Normal
168,64,Lean
184,78,Lean
188,85,Normal
186,79,Normal
185,79,Normal
192,90,Lean
176,79,Normal
183,77,Normal
182,71,Lean
186,80,Lean
183,75,Normal
182,76,Normal
180,66,Lean
174,76,Normal
180,78,Normal
190,85,Normal
191,75,Normal
191,90,Normal
194,96,Normal
186,83,Normal
178,75,Stocky
183,78,Normal
180,79,Stocky
173,67,Lean
183,74,Normal
193,83,Lean
187,75,Normal
187,80,Normal
183,77,Normal
184,84,Normal
182,70,Normal
188,82,Lean
185,74,Lean
196,92,Normal
185,78,Normal
180,80,Normal
184,77,Normal
173,73,Normal
176,83,Normal
191,84,Stocky
180,70,Normal
189,80,Normal
189,80,Normal
178,74,Normal
188,84,Normal
185,82,Lean
181,74,Lean
195,90,Normal
184,78,Normal
183,81,Normal
185,75,Normal
182,77,Normal
179,72,Normal
186,78,Lean
198,87,Lean
185,88,Stocky
190,81,Lean
178,84,Stocky
187,77,Normal
191,73,Normal
178,70,Lean
175,70,Lean
182,70,Lean
187,73,Lean
182,77,Lean
182,74,Stocky
167,70,Normal
182,76,Normal
195,95,Normal
189,81,Normal
187,86,Normal
189,77,Normal
193,78,Lean
189,82,Normal
190,80,Lean
167,65,Normal
182,81,Normal
186,78,Lean
182,74,Lean
175,68,Lean
185,77,Lean
175,72,Normal
182,79,Normal
178,74,Normal
189,87,Normal
180,77,Normal
177,69,Normal
177,67,Lean
178,83,Stocky
182,80,Normal
179,71,Lean
191,83,Normal
178,70,Normal
174,75,Stocky
183,85,Normal
170,70,Normal
178,73,Lean
179,75,Normal
183,76,Normal
175,73,Normal
166,60,Normal
180,77,Normal
163,58,Normal
172,63,Lean
192,86,Normal
176,68,Normal
181,75,Normal
195,81,Lean
176,73,Lean
184,84,Normal
178,65,Lean
178,64,Normal
172,71,Normal
178,83,Normal
191,88,Normal
188,78,Stocky
183,81,Lean
187,85,Normal
181,75,Lean
186,81,Normal
186,86,Normal
176,74,Normal
185,77,Normal
191,89,Normal
181,80,Stocky
186,80,Normal
190,83,Normal
172,69,Normal
184,83,Normal
180,69,Normal
179,69,Lean
175,64,Lean
176,73,Normal
178,74,Normal
180,80,Normal
180,75,Normal
184,84,Normal
180,68,Normal
189,80,Normal
187,81,Normal
191,84,Normal
191,92,Stocky
185,74,Normal
189,85,Lean
181,82,Normal
197,92,Normal
183,77,Lean
180,78,Stocky
176,78,Normal
188,88,Normal
185,70,Lean
188,87,Normal
186,81,Normal
183,87,Normal
188,79,Lean
188,90,Stocky
183,81,Normal
177,76,Normal
180,78,Normal
193,84,Normal
189,85,Normal
177,71,Normal
182,78,Normal
176,68,Lean
185,83,Normal
180,77,Normal
183,75,Normal
180,78,Normal
187,78,Normal
184,70,Lean
185,77,Lean
191,90,Normal
175,73,Normal
176,75,Normal
183,80,Normal
186,81,Normal
184,80,Normal
182,73,Lean
192,82,Lean
196,86,Normal
191,83,Normal
182,77,Normal
181,72,Lean
175,72,Stocky
187,85,Normal
188,79,Lean
185,80,Normal
181,76,Normal
185,80,Normal
191,83,Normal
188,86,Normal
171,68,Lean
179,72,Normal
179,70,Lean
189,84,Normal
185,86,Normal
192,85,Normal
190,78,Lean
181,73,Lean
185,86,Normal
178,83,Stocky
181,73,Lean
173,70,Normal
174,74,Stocky
181,80,Normal
170,65,Normal
186,83,Normal
185,71,Normal
174,64,Normal
194,87,Normal
187,85,Normal
185,82,Normal
186,80,Normal
191,84,Normal
195,92,Lean
186,77,Stocky
183,80,Normal
172,64,Lean
186,80,Lean
189,79,Normal
188,83,Normal
180,81,Normal
188,83,Normal
193,90,Normal
181,72,Normal
183,76,Normal
176,75,Normal
177,76,Normal
187,78,Normal
178,72,Lean
178,70,Normal
176,72,Normal
189,79,Lean
183,75,Normal
186,82,Normal
189,82,Normal
188,92,Stocky
168,61,Lean
196,89,Lean
186,86,Normal
186,78,Normal
186,82,Normal
177,70,Lean
186,88,Stocky
198,85,Lean
175,67,Normal
182,77,Normal
180,73,Normal
159,62,Normal
192,81,Normal
177,69,Normal
175,71,Normal
189,96,Normal
196,93,Normal
188,76,Lean
181,81,Stocky
180,77,Normal
186,81,Stocky
178,70,Lean
185,86,Normal
176,73,Lean
183,74,Normal
180,77,Normal
181,72,Lean
182,80,Normal
178,79,Normal
184,79,Normal
189,75,Lean
177,76,Normal
170,68,Normal
188,80,Normal
180,82,Normal
186,81,Normal
192,86,Normal
177,77,Lean
178,76,Normal
186,80,Lean
186,75,Lean
178,77,Normal
182,79,Lean
177,78,Normal
180,71,Normal
172,69,Normal
190,85,Normal
175,75,Normal
181,75,Lean
184,70,Lean
193,82,Normal
183,73,Normal
180,70,Lean
184,77,Normal
175,74,Normal
180,82,Normal
176,75,Normal
193,93,Normal
175,72,Normal
176,70,Normal
185,78,Normal
170,74,Stocky
173,72,Normal
174,73,Stocky
188,78,Normal
168,67,Lean
189,89,Normal
190,86,Normal
191,77,Normal
178,69,Normal
185,81,Normal
194,92,Normal
175,67,Lean
186,78,Normal
180,72,Lean
180,76,Normal
180,67,Lean
176,72,Normal
189,74,Normal
173,69,Normal
183,80,Lean
187,86,Normal
173,70,Normal
169,67,Normal
179,70,Lean
177,67,Normal
182,73,Normal
178,66,Lean
190,90,Stocky
176,73,Lean
178,79,Normal
186,79,Normal
170,58,Normal
179,85,Normal
182,72,Lean
186,73,Lean
185,82,Normal
183,78,Stocky
170,65,Lean
170,63,Lean
178,74,Normal
178,77,Stocky
181,78,Normal
182,69,Normal
190,86,Normal
172,63,Normal
178,68,Normal
184,80,Normal
187,83,Normal
185,79,Normal
189,82,Normal
175,79,Normal
180,74,Normal
192,87,Normal
187,80,Normal
182,78,Normal
175,70,Lean
180,75,Normal
175,66,Normal
180,73,Lean
179,66,Lean
172,66,Lean
177,79,Normal
184,81,Normal
183,81,Normal
180,78,Normal
176,82,Normal
186,82,Normal
184,82,Stocky
177,73,Normal
172,75,Normal
170,67,Normal
181,76,Normal
178,83,Normal
177,69,Lean
182,92,Stocky
172,67,Normal
171,75,Normal
178,72,Lean
181,80,Stocky
175,79,Normal
169,69,Normal
179,79,Lean
174,74,Normal
177,75,Normal
178,76,Normal
187,75,Lean
168,67,Normal
190,85,Normal
183,84,Normal
176,73,Stocky
185,80,Normal
177,69,Normal
183,78,Normal
175,72,Normal
171,68,Normal
183,77,Normal
178,73,Lean
179,70,Lean
167,63,Normal
186,77,Normal
181,78,Normal
185,80,Normal
170,65,Lean
187,77,Lean
201,90,Normal
175,70,Normal
178,77,Normal
172,68,Lean
178,69,Lean
178,78,Normal
172,76,Stocky
175,70,Lean
174,68,Normal
177,71,Normal
165,62,Lean
188,85,Normal
195,91,Normal
176,69,Lean
174,78,Normal
175,71,Lean
177,73,Normal
183,80,Normal
191,90,Normal
187,79,Normal
194,85,Lean
180,77,Normal
173,65,Lean
181,80,Stocky
170,66,Normal
182,77,Normal
168,62,Lean
170,69,Normal
168,73,Normal
190,87,Normal
178,72,Lean
176,77,Normal
188,83,Stocky
191,87,Stocky
179,73,Lean
181,73,Normal
195,88,Normal
186,79,Normal
185,69,Normal
189,82,Lean
186,78,Lean
176,67,Lean
182,80,Normal
177,71,Lean
181,76,Stocky
175,70,Normal
186,82,Normal
178,79,Normal
182,77,Normal
184,81,Normal
177,70,Normal
173,67,Lean
188,72,Lean
178,70,Lean
180,65,Normal
172,65,Normal
175,69,Lean
183,71,Normal
185,80,Normal
170,62,Normal
174,68,Lean
178,65,Normal
185,77,Normal
177,61,Lean
174,64,Lean
168,71,Stocky
188,75,Lean
185,80,Lean
170,66,Normal
174,78,Normal
178,73,Normal
180,66,Lean
185,80,Lean
187,81,Normal
171,65,Lean
178,75,Lean
178,70,Normal
173,70,Lean
190,85,Stocky
189,84,Lean
180,75,Normal
178,68,Lean
172,65,Lean
186,82,Normal
180,75,Normal
177,75,Lean
178,70,Normal
194,88,Normal
183,75,Normal
187,78,Normal
190,82,Normal
180,71,Lean
172,66,Lean
183,80,Normal
182,76,Normal
170,62,Lean
170,72,Normal
175,72,Normal
187,81,Normal
186,83,Normal
177,74,Normal
186,80,Normal
178,68,Lean
191,81,Lean
175,75,Normal
191,88,Normal
181,78,Lean
170,66,Lean
187,80,Lean
177,78,Normal
183,77,Lean
168,65,Lean
177,75,Normal
177,80,Stocky
184,79,Normal
181,72,Normal
186,75,Lean
191,84,Normal
170,69,Normal
181,80,Normal
173,72,Stocky
183,79,Normal
187,71,Lean
156,58,Normal
174,70,Normal
183,74,Normal
189,85,Lean
191,87,Lean
176,68,Normal
184,77,Normal
177,68,Lean
170,65,Lean
175,72,Stocky
175,68,Lean
177,76,Normal
180,70,Lean
178,62,Lean
170,72,Normal
187,80,Normal
182,74,Normal
190,90,Normal
188,70,Lean
185,68,Lean
184,74,Lean
180,74,Normal
178,71,Normal
169,63,Lean
182,72,Normal
188,87,Normal
170,63,Normal
178,76,Normal
184,77,Normal
186,75,Lean
194,86,Normal
180,75,Lean
182,70,Normal
181,73,Lean
183,72,Normal
183,75,Lean
186,76,Normal
185,68,Lean
173,70,Normal
202,92,Normal
175,68,Normal
180,70,Lean
179,64,Lean
185,87,Normal
177,71,Lean
180,79,Normal
183,72,Lean
174,75,Normal
189,83,Normal
174,74,Normal
183,77,Normal
184,80,Lean
182,70,Lean
190,82,Normal
177,69,Lean
187,82,Normal
188,88,Normal
173,68,Lean
183,79,Lean
178,71,Lean
180,82,Normal
178,70,Normal
183,80,Normal
197,82,Lean
171,64,Normal
189,79,Normal
169,67,Normal
184,78,Normal
180,75,Normal
178,77,Normal
184,87,Stocky
188,70,Normal
172,66,Normal
175,80,Normal
168,72,Normal
191,85,Normal
183,78,Lean
180,70,Lean
178,76,Lean
195,85,Normal
185,70,Lean
175,71,Normal
181,79,Lean
190,86,Normal
175,61,Normal
185,77,Lean
184,76,Normal
189,86,Normal
195,90,Normal
172,65,Lean
175,67,Lean
177,70,Lean
176,66,Lean
165,62,Normal
177,80,Normal
174,73,Lean
180,74,Normal
170,66,Normal
185,74,Normal
179,65,Lean
177,71,Stocky
186,84,Normal
182,74,Normal
193,80,Lean
163,55,Lean
183,75,Normal
186,78,Normal
181,73,Lean
189,81,Lean
172,70,Normal
189,79,Normal
188,78,Lean
175,75,Normal
179,74,Normal
188,82,Lean
184,77,Normal
198,82,Lean
178,74,Normal
178,74,Normal
167,56,Lean
175,70,Normal
168,84,Normal
190,87,Normal
173,68,Lean
177,69,Lean
178,71,Lean
175,60,Lean
180,74,Lean
185,87,Normal
191,85,Normal
172,64,Lean
194,80,Lean
176,70,Lean
184,78,Lean
180,67,Lean
185,83,Normal
190,85,Normal
184,79,Normal
187,72,Lean
176,70,Lean
196,93,Lean
182,73,Lean
192,92,Normal
179,78,Normal
189,88,Normal
185,74,Lean
183,90,Normal
183,75,Normal
191,87,Normal
192,84,Lean
175,65,Normal
180,72,Normal
186,76,Lean
164,52,Normal
180,74,Normal
184,77,Normal
186,81,Normal
177,73,Lean
178,74,Lean
173,64,Lean
184,84,Normal
181,79,Normal
179,77,Normal
182,78,Lean
180,72,Lean
176,70,Lean
188,80,Lean
186,77,Normal
192,84,Lean
181,74,Lean
180,75,Lean
178,71,Normal
178,70,Lean
188,89,Normal
177,76,Stocky
175,69,Lean
178,65,Lean
174,70,Normal
187,85,Normal
185,76,Lean
186,84,Normal
183,75,Normal
196,85,Lean
172,70,Normal
175,70,Normal
193,77,Normal
185,76,Normal
183,83,Stocky
177,75,Normal
173,61,Normal
180,74,Normal
178,76,Normal
196,82,Lean
189,75,Normal
180,65,Normal
174,68,Lean
188,72,Lean
174,73,Normal
177,72,Lean
179,66,Lean
177,73,Normal
197,84,Lean
190,87,Normal
182,81,Normal
185,80,Normal
173,70,Normal
176,74,Normal
173,70,Normal
175,67,Normal
179,78,Stocky
184,72,Lean
183,77,Normal
183,76,Normal
189,83,Normal
180,75,Lean
186,76,Lean
172,65,Lean
180,74,Lean
163,64,Normal
183,70,Lean
175,70,Normal
170,74,Normal
181,83,Normal
177,73,Normal
200,90,Normal
184,76,Normal
183,79,Normal
182,80,Normal
188,79,Normal
173,73,Normal
177,70,Normal
163,58,Normal
194,79,Lean
181,74,Lean
182,78,Normal
186,86,Normal
169,72,Normal
174,76,Normal
183,73,Lean
192,80,Lean
180,78,Lean
200,101,Normal
187,82,Normal
188,80,Normal
193,85,Normal
176,77,Normal
191,82,Lean
180,76,Normal
193,82,Lean
174,67,Lean
188,87,Normal
170,62,Lean
198,91,Normal
180,78,Normal
178,69,Lean
175,78,Normal
191,80,Lean
189,84,Normal
180,71,Normal
188,80,Normal
193,90,Normal
180,77,Normal
180,73,Normal
173,69,Normal
183,75,Normal
187,82,Normal
185,84,Normal
178,72,Normal
192,80,Normal
176,63,Lean
181,77,Normal
172,67,Lean
187,78,Normal
167,64,Lean
177,77,Normal
185,80,Normal
182,78,Normal
186,80,Lean
196,96,Normal
179,70,Normal
175,68,Normal
188,81,Lean
169,67,Lean
193,92,Normal
186,84,Normal
176,75,Normal
171,70,Normal
174,70,Normal
189,86,Normal
182,77,Normal
180,75,Normal
192,88,Normal
186,85,Normal
183,74,Normal
175,72,Normal
188,81,Normal
168,62,Normal
179,71,Lean
191,84,Normal
191,90,Stocky
191,92,Normal
191,85,Normal
180,75,Normal
180,76,Lean
181,81,Normal
195,90,Normal
183,72,Lean
188,88,Normal
187,85,Normal
178,73,Lean
169,63,Normal
187,82,Normal
188,70,Normal
175,74,Lean
169,68,Normal
178,75,Normal
191,89,Normal
179,73,Stocky
193,87,Normal
176,64,Lean
175,68,Normal
188,85,Normal
174,68,Normal
178,73,Stocky
174,70,Normal
193,88,Normal
187,79,Lean
198,93,Lean
185,78,Normal
186,81,Normal
188,81,Normal
184,80,Normal
192,89,Normal
183,78,Normal
180,72,Normal
192,84,Normal
176,79,Stocky
180,85,Stocky
190,80,Lean
173,75,Normal
180,80,Normal
187,81,Normal
188,83,Normal
179,68,Normal
182,74,Lean
184,72,Lean
197,92,Lean
177,75,Normal
180,73,Normal
182,76,Normal
185,77,Lean
186,78,Lean
185,75,Normal
184,78,Normal
184,80,Normal
170,61,Lean
169,64,Normal
181,73,Normal
191,91,Normal
196,90,Normal
178,70,Lean
183,77,Normal
185,81,Normal
185,70,Lean
185,76,Lean
179,73,Lean
178,70,Lean
180,75,Stocky
175,73,Normal
183,89,Normal
167,68,Normal
195,86,Lean
177,73,Lean
180,80,Normal
190,81,Normal
184,80,Normal
181,80,Stocky
180,64,Normal
190,84,Normal
177,72,Stocky
174,70,Normal
184,80,Normal
185,81,Normal
182,73,Lean
179,68,Normal
182,82,Normal
168,69,Normal
166,60,Normal
186,84,Normal
180,74,Normal
182,74,Lean
178,73,Lean
180,76,Normal
180,71,Lean
188,80,Lean
180,73,Normal
179,72,Normal
186,82,Normal
194,87,Normal
167,62,Lean
189,84,Normal
170,69,Normal
185,78,Normal
177,70,Normal
182,73,Lean
185,84,Normal
170,64,Normal
175,74,Normal
183,76,Normal
183,80,Normal
191,89,Normal
169,68,Normal
188,76,Normal
181,85,Normal
173,70,Lean
192,93,Normal
184,75,Normal
188,85,Normal
182,75,Normal
185,77,Lean
185,80,Stocky
192,82,Normal
187,78,Normal
183,76,Normal
188,79,Normal
187,82,Normal
179,75,Normal
168,71,Lean
178,68,Normal
188,89,Normal
193,86,Normal
174,72,Normal
181,75,Normal
185,75,Normal
170,68,Normal
180,79,Normal
178,75,Normal
193,97,Stocky
173,73,Lean
178,79,Normal
183,77,Stocky
175,73,Normal
188,78,Stocky
187,81,Lean
191,90,Normal
183,80,Normal
186,76,Normal
180,72,Normal
185,85,Normal
180,77,Normal
177,77,Normal
180,72,Normal
193,88,Lean
191,82,Normal
185,70,Normal
177,75,Lean
190,94,Normal
184,80,Normal
175,76,Normal
186,80,Normal
184,77,Normal
189,81,Normal
184,83,Normal
172,82,Normal
178,72,Normal
182,73,Normal
178,73,Normal
176,74,Normal
174,74,Stocky
180,73,Normal
189,80,Normal
179,78,Lean
194,90,Lean
188,81,Normal
176,81,Normal
187,76,Lean
173,65,Lean
178,72,Normal
180,77,Normal
186,81,Normal
172,71,Normal
178,72,Normal
180,77,Normal
185,71,Normal
175,75,Normal
177,81,Stocky
182,80,Normal
176,74,Normal
176,71,Normal
189,78,Lean
176,80,Normal
184,81,Normal
174,70,Stocky
173,71,Stocky
170,69,Normal
187,75,Normal
184,80,Lean
183,70,Lean
183,78,Normal
180,73,Normal
176,77,Normal
172,68,Normal
180,71,Lean
176,65,Normal
178,69,Lean
185,75,Lean
173,65,Normal
192,88,Normal
185,74,Normal
181,79,Stocky
179,78,Normal
180,75,Normal
182,80,Lean
187,91,Normal
185,76,Lean
183,80,Normal
178,72,Normal
179,91,Stocky
186,84,Normal
178,81,Normal
180,72,Lean
183,80,Normal
180,71,Normal
176,75,Normal
180,73,Normal
181,73,Normal
187,87,Normal
174,70,Normal
180,80,Lean
180,78,Normal
175,68,Lean
187,82,Normal
186,89,Normal
191,80,Lean
184,78,Lean
183,85,Normal
178,75,Lean
180,77,Normal
188,83,Normal
182,76,Normal
191,81,Normal
183,76,Normal
187,88,Stocky
178,75,Stocky
182,77,Normal
182,78,Normal
162,64,Stocky
172,66,Lean
186,84,Normal
190,82,Lean
184,79,Stocky
182,72,Lean
185,74,Lean
178,75,Normal
180,75,Lean
182,85,Normal
188,83,Lean
186,77,Lean
189,89,Normal
185,78,Normal
174,84,Stocky
193,89,Normal
183,77,Normal
183,75,Normal
188,79,Normal
182,79,Normal
185,82,Lean
183,76,Lean
173,73,Normal
178,72,Lean
178,73,Normal
176,68,Normal
190,84,Normal
186,77,Normal
177,76,Normal
185,86,Normal
172,65,Lean
183,78,Lean
180,76,Lean
178,74,Normal
176,70,Lean
176,71,Normal
174,74,Normal
178,77,Normal
186,82,Normal
183,78,Normal
179,72,Normal
182,74,Lean
173,69,Normal
190,85,Normal
179,81,Stocky
173,73,Stocky
196,93,Normal
180,79,Normal
175,71,Normal
183,73,Normal
185,77,Lean
178,70,Lean
192,89,Normal
183,75,Normal
192,78,Normal
185,78,Normal
175,74,Lean
180,70,Normal
182,77,Normal
183,80,Normal
177,75,Lean
183,76,Lean
195,91,Normal
194,87,Normal
180,74,Normal
186,86,Stocky
180,77,Normal
177,73,Normal
188,86,Normal
178,77,Stocky
174,69,Normal
173,68,Stocky
172,75,Normal
189,87,Stocky
178,72,Normal
177,78,Lean
203,87,Lean
195,84,Lean
185,83,Normal
175,65,Lean
170,71,Stocky
186,83,Normal
188,85,Lean
187,77,Lean
184,77,Normal
188,79,Lean
180,75,Normal
172,64,Normal
175,63,Lean
171,65,Normal
179,72,Lean
175,72,Normal
183,77,Normal
182,67,Normal
180,76,Normal
168,63,Lean
180,76,Normal
191,87,Lean
183,76,Lean
183,73,Lean
171,67,Normal
179,76,Stocky
190,81,Normal
182,75,Normal
178,74,Lean
181,76,Normal
188,75,Normal
186,75,Lean
183,77,Normal
185,85,Normal
178,73,Normal
182,79,Normal
171,69,Normal
188,80,Normal
170,70,Normal
170,69,Lean
170,65,Normal
187,78,Normal
193,93,Stocky
189,95,Normal
191,83,Lean
167,68,Stocky
182,76,Lean
179,73,Lean
175,68,Normal
189,83,Lean
185,76,Lean
180,71,Lean
192,79,Normal
185,77,Lean
180,73,Normal
186,75,Normal
189,82,Normal
176,70,Stocky
178,76,Normal
174,69,Lean
183,74,Lean
178,74,Normal
180,72,Lean
194,84,Lean
191,90,Stocky
183,78,Lean
171,68,Normal
167,67,Normal
172,74,Normal
172,70,Normal
184,78,Lean
184,70,Lean
183,83,Normal
184,77,Normal
185,76,Lean
165,63,Stocky
173,65,Normal
179,74,Lean
188,87,Stocky
180,81,Normal
183,78,Normal
176,64,Lean
187,79,Lean
180,69,Lean
185,82,Lean
176,70,Normal
171,69,Normal
181,75,Normal
193,94,Normal
181,78,Normal
184,78,Normal
171,63,Normal
174,66,Normal
188,83,Normal
193,84,Normal
189,81,Normal
180,73,Normal
188,84,Normal
187,87,Normal
181,76,Normal
174,72,Normal
182,78,Normal
177,71,Normal
183,69,Lean
172,68,Normal
169,60,Normal
187,88,Stocky
179,79,Stocky
180,72,Normal
171,68,Lean
184,80,Normal
176,69,Normal
187,79,Normal
190,88,Normal
176,74,Normal
181,80,Stocky
170,68,Normal
176,76,Normal
177,69,Lean
179,75,Normal
184,85,Stocky
180,76,Stocky
179,75,Normal
180,75,Normal
179,76,Normal
175,70,Normal
176,70,Normal
193,84,Normal
168,60,Normal
176,84,Stocky
186,77,Lean
190,76,Lean
173,72,Lean
169,68,Normal
177,68,Lean
174,75,Lean
186,76,Normal
178,71,Normal
180,78,Normal
188,84,Normal
188,78,Lean
179,60,Normal
177,76,Normal
177,77,Normal
183,82,Stocky
191,88,Normal
180,79,Normal
170,74,Normal
183,74,Normal
176,73,Normal
184,83,Stocky
177,74,Normal
193,86,Lean
183,76,Lean
193,89,Normal
167,72,Stocky
187,80,Normal
182,83,Normal
182,77,Normal
176,78,Stocky
189,84,Normal
178,77,Normal
175,69,Lean
185,81,Normal
179,74,Lean
182,84,Stocky
188,88,Normal
186,82,Stocky
188,85,Normal
184,82,Normal
183,74,Lean
180,74,Lean
175,70,Lean
184,78,Normal
181,71,Lean
180,75,Lean
177,70,Normal
182,82,Normal
176,65,Lean
173,72,Normal
176,74,Stocky
179,76,Normal
178,75,Normal
170,64,Normal
170,64,Normal
181,69,Lean
180,71,Normal
185,84,Stocky
177,73,Normal
171,65,Normal
181,78,Normal
184,81,Normal
188,85,Normal
183,81,Normal
185,79,Normal
182,69,Lean
185,83,Normal
168,69,Normal
185,77,Lean
178,76,Lean
193,80,Lean
184,85,Normal
193,90,Normal
178,72,Normal
168,69,Normal
175,70,Normal
174,71,Normal
168,64,Normal
170,66,Normal
